Date,Check #,Description,Amount
01/04/2021,7777,Transaction 26,"$150.43"
01/05/2021,,Transaction 27,"$700.25"
01/06/2021,,Transaction 28,"-$1,303.97"
01/07/2021,,Transaction 29,"$46.78"
01/08/2021,,Transaction 30,"$816.87"
01/11/2021,1934,Transaction 31,"-$1,002.53"
01/12/2021,7307,Transaction 32,"$532.22"
01/13/2021,1352,Transaction 33,"-$704.59"
01/14/2021,,Transaction 34,"$98.04"
01/15/2021,,Transaction 35,"-$204.56"
01/25/2021,,Transaction 36,"$1,056.27"
01/26/2021,,Transaction 37,"$550.10"
01/27/2021,,Transaction 38,"-$825.77"
01/28/2021,4250,Transaction 39,"$212.68"
01/29/2021,,Transaction 40,"$195.68"
02/02/2021,9915,Transaction 41,"-$463.75"
02/03/2021,,Transaction 42,"$78.02"
02/04/2021,,Transaction 43,"$268.81"
02/05/2021,,Transaction 44,"$1,360.55"
02/08/2021,,Transaction 45,"-$594.46"
02/09/2021,9125,Transaction 46,"$467.39"
02/10/2021,,Transaction 47,"$39.49"
02/11/2021,7929,Transaction 48,"-$81.87"
02/12/2021,,Transaction 49,"$255.64"
02/12/2021,,Transaction 50,"$13.51"
